Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A1553,DataAnalyticsCourse,119.0,4480.0,$184.25,20.0,3.0,0.025,$1985,22-11-2024,hyderabad,Mobile,online data analytic
A1554,Data Anlytics Corse,151.0,5595.0,$246.66,24.0,4.0,0.026,$1921,2024-11-29,HYDERABAD,Desktop,learn data analytics
A1555,DataAnalyticsCourse,190.0,4808.0,$199.94,16.0,6.0,0.032,$1454,2024/11/03,HYDERABAD,DESKTOP,data analitics online
A1556,Data Analytics Corse,138.0,3382.0,$204.12,27.0,7.0,0.051,$1386,05-11-2024,hydrebad,TABLET,learn data analytics
A1557,Data Anlytics Corse,100.0,4643.0,$214.46,16.0,9.0,0.09,$1179,2024/11/03,hydrebad,tablet,online data analytic
A1558,DataAnalyticsCourse,187.0,5400.0,$210.0,14.0,7.0,,$1945,2024-11-15,Hyderbad,desktop,analytics for data
A1559,Data Analytcis Course,176.0,3400.0,$191.5,29.0,3.0,,$1429,28-11-2024,Hyderbad,mobile,online data analytic
A1560,Data Analytics Corse,117.0,4223.0,,28.0,6.0,0.059,$1489,2024/11/10,HYDERABAD,mobile,data anaytics training
A1561,Data Anlytics Corse,196.0,,$206.31,24.0,8.0,0.051,$1426,2024/11/23,hyderabad,tablet,data analitics online
A1562,DataAnalyticsCourse,155.0,3864.0,$222.17,12.0,3.0,,$1407,2024-11-21,hydrebad,mobile,data anaytics training
A1563,DataAnalyticsCourse,188.0,3838.0,$240.99,15.0,3.0,0.016,$1951,10-11-2024,hydrebad,mobile,data analytics course
A1564,Data Analytcis Course,81.0,5659.0,$222.98,25.0,4.0,0.057,$1654,2024-11-19,HYDERABAD,TABLET,data analitics online
A1565,Data Analytics Corse,125.0,4794.0,,28.0,7.0,0.051,$1453,2024-11-22,HYDERABAD,DESKTOP,data analitics online
A1566,Data Analytics Corse,158.0,5214.0,$222.28,21.0,3.0,0.019,$1630,03-11-2024,hydrebad,DESKTOP,data analytics course
A1567,Data Analytics Corse,133.0,5762.0,$196.02,10.0,5.0,0.038,,2024/11/03,hyderabad,TABLET,data analytics course
A1568,Data Analytcis Course,128.0,5026.0,$239.88,15.0,9.0,0.07,$1745,2024/11/25,Hyderbad,Mobile,analytics for data
A1569,Data Analytcis Course,148.0,3883.0,$181.4,30.0,4.0,0.027,$1966,2024-11-16,hydrebad,DESKTOP,analytics for data
A1570,DataAnalyticsCourse,92.0,4605.0,$234.69,29.0,3.0,,$1264,2024-11-30,Hyderbad,mobile,data anaytics training
A1571,Data Anlytics Corse,147.0,,$205.83,25.0,8.0,,$1728,2024-11-02,hydrebad,desktop,data analytics course
A1572,Data Anlytics Corse,136.0,5454.0,$247.7,13.0,6.0,0.044,$1687,2024/11/06,hydrebad,mobile,data analitics online
A1573,Data Anlytics Corse,132.0,4957.0,$220.43,28.0,6.0,0.045,$1218,03-11-2024,Hyderbad,mobile,online data analytic
A1574,DataAnalyticsCourse,173.0,,$241.61,28.0,3.0,0.017,$1191,2024-11-13,hyderabad,TABLET,learn data analytics
A1575,Data Anlytics Corse,85.0,4747.0,$224.35,26.0,5.0,0.059,$1087,01-11-2024,HYDERABAD,Tablet,data analytics course
A1576,Data Analytcis Course,129.0,5874.0,$200.17,12.0,5.0,0.039,$1405,2024-11-29,HYDERABAD,Tablet,online data analytic
A1577,Data Analytics Corse,181.0,4730.0,$243.35,16.0,4.0,,$1975,2024/11/20,hyderabad,mobile,online data analytic
A1578,Data Analytcis Course,85.0,5341.0,$249.64,21.0,6.0,0.032,$1388,2024/11/10,Hyderbad,Mobile,online data analytic
A1579,Data Analytcis Course,92.0,4327.0,$188.6,14.0,7.0,,$1140,2024-11-22,hydrebad,Tablet,data anaytics training
A1580,Data Analytics Corse,192.0,,$180.82,27.0,4.0,0.021,$1847,09-11-2024,hydrebad,MOBILE,data anaytics training
A1581,Data Analytcis Course,146.0,4484.0,$194.67,27.0,9.0,0.052,$1234,2024-11-02,Hyderbad,tablet,data anaytics training
A1582,Data Anlytics Corse,178.0,4311.0,$205.46,18.0,4.0,0.022,$1671,2024-11-18,hyderabad,Tablet,analytics for data
A1583,DataAnalyticsCourse,197.0,3009.0,$233.44,22.0,9.0,0.046,$1374,18-11-2024,hydrebad,tablet,analytics for data
A1584,Data Anlytics Corse,176.0,3110.0,$205.23,23.0,5.0,0.028,$1746,2024-11-19,hyderabad,DESKTOP,online data analytic
A1585,DataAnalyticsCourse,98.0,3365.0,$224.28,27.0,9.0,,$1108,27-11-2024,HYDERABAD,Desktop,data anaytics training
A1586,DataAnalyticsCourse,105.0,3274.0,$187.89,24.0,4.0,0.038,$1360,2024/11/09,hyderabad,DESKTOP,learn data analytics
A1587,DataAnalyticsCourse,113.0,3231.0,$210.13,19.0,10.0,0.041,$1234,2024/11/15,Hyderbad,desktop,online data analytic
A1588,Data Analytics Corse,,3440.0,$246.53,13.0,10.0,,$1217,27-11-2024,hyderabad,tablet,online data analytic
A1589,Data Analytcis Course,88.0,5196.0,$197.32,26.0,5.0,0.057,$1438,2024/11/03,hydrebad,DESKTOP,online data analytic
A1590,Data Analytics Corse,106.0,5321.0,$239.76,11.0,7.0,0.066,$1910,24-11-2024,hydrebad,Desktop,data anaytics training
A1591,DataAnalyticsCourse,148.0,5841.0,$243.09,15.0,7.0,0.047,$1535,29-11-2024,hyderabad,mobile,data analitics online
A1592,Data Analytcis Course,174.0,,$227.96,25.0,5.0,0.029,$1566,2024-11-15,Hyderbad,Tablet,online data analytic
A1593,DataAnalyticsCourse,196.0,5776.0,$227.24,30.0,4.0,0.02,,04-11-2024,HYDERABAD,mobile,data anaytics training
A1594,Data Analytics Corse,128.0,4729.0,$243.45,25.0,9.0,0.031,$1782,2024-11-23,hydrebad,desktop,learn data analytics
A1595,Data Analytcis Course,163.0,5371.0,$215.89,29.0,7.0,0.043,$1906,2024-11-05,hydrebad,TABLET,data analytics course
A1596,Data Analytics Corse,183.0,5268.0,$203.65,17.0,5.0,0.027,$1731,2024-11-12,hyderabad,Mobile,learn data analytics
A1597,DataAnalyticsCourse,196.0,5386.0,$224.31,23.0,4.0,0.02,$1423,2024/11/30,hyderabad,tablet,learn data analytics
A1598,Data Anlytics Corse,121.0,4432.0,$218.71,25.0,10.0,,$1568,2024/11/13,hydrebad,desktop,analytics for data
A1599,Data Analytics Corse,174.0,3031.0,$242.32,25.0,6.0,0.034,$1381,2024-11-08,HYDERABAD,MOBILE,online data analytic
A1600,Data Anlytics Corse,142.0,5999.0,$214.05,27.0,,,$1064,2024-11-21,HYDERABAD,desktop,analytics for data
A1601,Data Anlytics Corse,118.0,3274.0,$222.62,10.0,3.0,0.025,$1716,09-11-2024,Hyderbad,TABLET,analytics for data
A1602,Data Analytics Corse,118.0,5889.0,$193.01,17.0,10.0,0.085,$1789,2024-11-10,hyderabad,DESKTOP,online data analytic
A1603,DataAnalyticsCourse,149.0,5601.0,$222.01,15.0,6.0,0.04,$1514,25-11-2024,hydrebad,Desktop,analytics for data
A1604,DataAnalyticsCourse,127.0,4295.0,$212.6,26.0,10.0,0.079,$1713,19-11-2024,HYDERABAD,Tablet,data analytics course
A1605,DataAnalyticsCourse,195.0,5135.0,$226.37,17.0,3.0,,,2024/11/24,Hyderbad,desktop,data anaytics training
A1606,Data Anlytics Corse,173.0,5233.0,$229.38,28.0,7.0,,$1322,2024-11-16,HYDERABAD,MOBILE,learn data analytics
A1607,DataAnalyticsCourse,131.0,5727.0,$218.65,28.0,4.0,0.031,$1631,2024/11/07,hydrebad,Mobile,data anaytics training
A1608,Data Anlytics Corse,105.0,4691.0,$213.15,21.0,3.0,0.035,$1276,2024-11-22,hyderabad,desktop,analytics for data
A1609,Data Analytcis Course,104.0,3409.0,$207.63,19.0,4.0,,$1195,2024/11/16,hydrebad,Mobile,analytics for data
A1610,DataAnalyticsCourse,139.0,4333.0,$230.05,19.0,6.0,0.043,$1407,21-11-2024,Hyderbad,DESKTOP,analytics for data
A1611,Data Analytcis Course,110.0,4430.0,$197.84,23.0,5.0,0.045,,2024-11-15,HYDERABAD,Mobile,learn data analytics
A1612,Data Analytcis Course,193.0,4860.0,$181.27,14.0,5.0,0.026,,2024-11-16,hyderabad,desktop,online data analytic
A1613,Data Analytics Corse,109.0,4396.0,$188.6,11.0,10.0,0.092,$1451,18-11-2024,hyderabad,Mobile,data anaytics training
A1614,Data Analytics Corse,141.0,5000.0,$223.7,29.0,10.0,0.071,$1909,2024-11-12,hydrebad,TABLET,data analitics online
A1615,Data Analytics Corse,182.0,3487.0,$211.71,23.0,7.0,0.038,$1027,2024/11/24,HYDERABAD,MOBILE,data analitics online
A1616,Data Analytcis Course,179.0,4236.0,$245.01,23.0,7.0,0.039,$1822,2024-11-07,hydrebad,Mobile,learn data analytics
A1617,Data Analytcis Course,89.0,5349.0,,,8.0,0.09,$1371,28-11-2024,hydrebad,Tablet,data analitics online
A1618,DataAnalyticsCourse,181.0,5678.0,$226.89,22.0,10.0,,$1992,2024/11/02,Hyderbad,tablet,data anaytics training
A1619,Data Anlytics Corse,85.0,5247.0,$219.97,15.0,7.0,0.082,$1612,2024-11-20,hyderabad,desktop,analytics for data
A1620,Data Anlytics Corse,179.0,3685.0,$202.66,15.0,,0.039,$1634,2024-11-18,hyderabad,DESKTOP,data analytics course
A1621,Data Anlytics Corse,172.0,5862.0,$202.0,23.0,4.0,0.023,$1469,2024/11/28,Hyderbad,DESKTOP,online data analytic
A1622,Data Anlytics Corse,196.0,5040.0,$197.08,11.0,9.0,0.046,$1774,22-11-2024,hydrebad,DESKTOP,data analytics course
A1623,DataAnalyticsCourse,,3423.0,$223.95,30.0,4.0,0.055,$1480,2024-11-03,HYDERABAD,DESKTOP,analytics for data
A1624,Data Anlytics Corse,135.0,5981.0,$228.66,26.0,6.0,,$1515,12-11-2024,hyderabad,Desktop,data anaytics training
A1625,Data Analytcis Course,97.0,3495.0,$230.83,16.0,6.0,0.062,$1675,2024/11/23,HYDERABAD,TABLET,analytics for data
A1626,DataAnalyticsCourse,137.0,3702.0,$215.41,25.0,9.0,0.066,$1010,10-11-2024,hyderabad,Desktop,learn data analytics
A1627,Data Analytcis Course,164.0,3405.0,$217.58,10.0,3.0,0.018,$1885,2024/11/30,Hyderbad,DESKTOP,data analitics online
A1628,Data Anlytics Corse,178.0,3370.0,$180.66,25.0,9.0,0.051,$1830,2024-11-24,Hyderbad,DESKTOP,online data analytic
A1629,DataAnalyticsCourse,146.0,4455.0,$227.13,16.0,5.0,,$1040,24-11-2024,Hyderbad,TABLET,online data analytic
A1630,DataAnalyticsCourse,149.0,4670.0,$218.31,10.0,10.0,0.067,$1623,2024/11/02,Hyderbad,MOBILE,analytics for data
A1631,DataAnalyticsCourse,193.0,4287.0,$204.62,15.0,3.0,,$1800,2024/11/09,HYDERABAD,TABLET,data anaytics training
A1632,DataAnalyticsCourse,,3546.0,$183.41,27.0,7.0,,$1701,2024/11/28,hydrebad,Mobile,data anaytics training
A1633,Data Analytcis Course,106.0,4740.0,$229.13,19.0,3.0,0.028,$1149,2024-11-11,HYDERABAD,Desktop,online data analytic
A1634,DataAnalyticsCourse,131.0,5642.0,$184.57,20.0,9.0,,$1827,16-11-2024,HYDERABAD,mobile,data analytics course
A1635,Data Analytcis Course,111.0,4161.0,$185.58,10.0,7.0,,$1434,2024-11-04,HYDERABAD,desktop,data anaytics training
A1636,Data Analytcis Course,144.0,4241.0,$181.4,24.0,5.0,0.035,$1693,2024/11/19,hydrebad,mobile,online data analytic
A1637,DataAnalyticsCourse,151.0,5875.0,$192.46,28.0,,,$1459,2024/11/18,hyderabad,MOBILE,data analitics online
A1638,Data Anlytics Corse,146.0,5457.0,,15.0,5.0,0.034,$1029,2024-11-02,Hyderbad,desktop,data analytics course
A1639,DataAnalyticsCourse,133.0,4780.0,$198.66,22.0,4.0,0.03,$1905,09-11-2024,hydrebad,TABLET,online data analytic
A1640,Data Analytics Corse,,5922.0,$239.1,12.0,3.0,0.048,$1733,2024/11/06,HYDERABAD,DESKTOP,data analytics course
A1641,Data Analytcis Course,82.0,3454.0,$228.02,30.0,7.0,0.049,$1463,2024-11-09,hyderabad,Desktop,learn data analytics
A1642,Data Analytcis Course,135.0,3449.0,$200.06,17.0,5.0,0.037,$1950,2024/11/07,hydrebad,mobile,data analytics course
A1643,Data Analytcis Course,199.0,4287.0,$235.58,12.0,10.0,0.05,$1276,2024-11-10,hydrebad,tablet,data analytics course
A1644,DataAnalyticsCourse,123.0,5000.0,$187.67,25.0,3.0,0.024,$1351,2024-11-07,hyderabad,tablet,data analitics online
A1645,DataAnalyticsCourse,154.0,3437.0,$211.63,28.0,4.0,0.026,$1604,2024-11-14,hydrebad,Tablet,data anaytics training
A1646,DataAnalyticsCourse,88.0,3475.0,$191.96,12.0,7.0,0.08,$1204,2024/11/25,HYDERABAD,desktop,online data analytic
A1647,Data Analytics Corse,165.0,4889.0,$180.19,21.0,4.0,0.024,$1458,2024/11/19,hydrebad,MOBILE,analytics for data
A1648,Data Analytics Corse,87.0,3639.0,$220.76,22.0,3.0,0.036,$1231,2024-11-14,HYDERABAD,mobile,analytics for data
A1649,Data Analytics Corse,147.0,3959.0,$181.18,27.0,9.0,0.061,$1627,2024/11/26,Hyderbad,MOBILE,analytics for data
A1650,Data Analytcis Course,137.0,5400.0,$180.04,10.0,10.0,0.073,$1375,2024-11-29,hydrebad,TABLET,analytics for data
A1651,DataAnalyticsCourse,188.0,5528.0,$245.03,13.0,10.0,0.053,$1202,2024-11-29,hyderabad,desktop,analytics for data
A1652,Data Anlytics Corse,162.0,5456.0,$193.69,10.0,6.0,0.037,$1992,2024-11-29,HYDERABAD,tablet,online data analytic
A1653,Data Analytcis Course,102.0,4308.0,$221.54,13.0,7.0,0.06,$1096,2024-11-08,HYDERABAD,Mobile,data analitics online
A1654,DataAnalyticsCourse,120.0,3245.0,$196.09,15.0,9.0,0.075,$1056,2024/11/22,HYDERABAD,DESKTOP,data anaytics training
A1655,Data Analytcis Course,125.0,3339.0,$205.32,18.0,4.0,0.054,$1985,28-11-2024,hydrebad,DESKTOP,data analytics course
A1656,Data Anlytics Corse,155.0,5977.0,$187.28,16.0,7.0,,$1607,2024/11/10,hyderabad,DESKTOP,online data analytic
A1657,Data Analytcis Course,137.0,4231.0,$226.49,25.0,5.0,0.036,$1078,2024/11/12,hydrebad,Tablet,analytics for data
A1658,Data Analytcis Course,91.0,4506.0,$195.99,12.0,3.0,0.045,$1179,2024-11-22,Hyderbad,Tablet,learn data analytics
A1659,DataAnalyticsCourse,87.0,4869.0,$220.97,29.0,5.0,0.057,$1480,2024-11-05,hydrebad,DESKTOP,data anaytics training
A1660,Data Analytics Corse,124.0,5716.0,$217.84,28.0,8.0,,$1791,2024/11/24,hyderabad,MOBILE,data anaytics training
A1661,Data Anlytics Corse,128.0,3243.0,$208.41,14.0,6.0,0.037,$1514,02-11-2024,HYDERABAD,Mobile,online data analytic
A1662,Data Analytcis Course,111.0,3911.0,$239.24,28.0,9.0,,$1097,2024/11/01,HYDERABAD,tablet,online data analytic
A1663,Data Analytics Corse,89.0,3982.0,$209.87,27.0,7.0,0.079,$1920,04-11-2024,hydrebad,desktop,data analytics course
A1664,Data Anlytics Corse,107.0,5299.0,$207.36,19.0,8.0,,$1567,2024/11/26,hydrebad,tablet,data anaytics training
A1665,Data Anlytics Corse,181.0,4150.0,$236.69,15.0,5.0,,$1251,2024-11-10,hyderabad,MOBILE,data analitics online
A1666,DataAnalyticsCourse,110.0,5925.0,$188.18,29.0,9.0,0.082,$1682,23-11-2024,hydrebad,Desktop,data anaytics training
A1667,Data Analytcis Course,85.0,4010.0,$195.26,17.0,4.0,0.042,$1853,06-11-2024,hydrebad,MOBILE,data analitics online
A1668,Data Analytics Corse,125.0,5767.0,,12.0,8.0,0.035,$1020,2024-11-19,hyderabad,Tablet,data analitics online
A1669,Data Anlytics Corse,163.0,,,11.0,3.0,0.018,$1819,2024-11-20,hydrebad,TABLET,data anaytics training
A1670,Data Analytics Corse,129.0,3787.0,$229.81,10.0,6.0,0.047,$1221,2024-11-13,hydrebad,desktop,online data analytic
A1671,Data Analytcis Course,112.0,4834.0,$212.27,11.0,7.0,0.062,$1524,2024/11/27,hyderabad,mobile,data analitics online
A1672,Data Analytcis Course,104.0,3031.0,$188.47,13.0,6.0,0.043,$1998,2024-11-05,hydrebad,desktop,data anaytics training
A1673,DataAnalyticsCourse,132.0,3754.0,$180.88,21.0,10.0,0.076,$1601,2024-11-24,HYDERABAD,Mobile,online data analytic
A1674,Data Anlytics Corse,113.0,3281.0,$241.85,16.0,6.0,0.053,,08-11-2024,HYDERABAD,Tablet,data analitics online
A1675,Data Anlytics Corse,109.0,4910.0,$236.2,,8.0,0.054,$1145,2024/11/08,hydrebad,TABLET,data anaytics training
A1676,Data Anlytics Corse,144.0,5026.0,$231.82,14.0,4.0,0.028,$1645,2024/11/10,Hyderbad,DESKTOP,data analytics course
A1677,Data Analytics Corse,179.0,5091.0,$238.62,10.0,6.0,0.034,$1259,24-11-2024,hyderabad,MOBILE,learn data analytics
A1678,Data Analytcis Course,,5622.0,$190.87,14.0,8.0,,$1400,17-11-2024,Hyderbad,mobile,analytics for data
A1679,Data Anlytics Corse,116.0,4538.0,$221.74,23.0,9.0,0.078,$1639,2024-11-24,Hyderbad,Desktop,data anaytics training
A1680,DataAnalyticsCourse,89.0,3509.0,$192.14,27.0,9.0,0.101,$1564,2024/11/12,hyderabad,mobile,online data analytic
A1681,DataAnalyticsCourse,96.0,3346.0,$248.48,15.0,7.0,0.073,$1118,2024-11-28,Hyderbad,desktop,data analitics online
A1682,DataAnalyticsCourse,193.0,4706.0,$213.41,24.0,8.0,0.046,$1058,2024/11/09,hyderabad,Desktop,data analytics course
A1683,Data Analytcis Course,122.0,3896.0,$194.3,23.0,3.0,0.025,$1355,21-11-2024,HYDERABAD,MOBILE,data analytics course
A1684,DataAnalyticsCourse,133.0,3332.0,$201.59,14.0,7.0,,$1943,2024/11/15,hyderabad,TABLET,data analytics course
A1685,DataAnalyticsCourse,177.0,5738.0,$249.21,11.0,7.0,0.04,$1435,16-11-2024,HYDERABAD,Mobile,data anaytics training
A1686,Data Analytics Corse,162.0,5346.0,$223.12,25.0,5.0,0.031,$1052,28-11-2024,Hyderbad,Desktop,data analytics course
A1687,DataAnalyticsCourse,182.0,5857.0,$192.69,15.0,4.0,0.048,$1384,2024/11/02,hyderabad,Desktop,data analytics course
A1688,Data Analytics Corse,154.0,4836.0,$233.8,26.0,10.0,,$1838,2024/11/30,hydrebad,desktop,data analytics course
A1689,Data Analytics Corse,104.0,5291.0,$186.93,19.0,10.0,0.096,$1805,2024-11-29,Hyderbad,tablet,data analytics course
A1690,Data Analytcis Course,101.0,4840.0,$230.68,21.0,9.0,0.089,$1556,2024-11-22,hydrebad,Desktop,data anaytics training
A1691,Data Analytcis Course,173.0,4246.0,$202.95,27.0,3.0,0.017,$1276,2024-11-29,HYDERABAD,tablet,learn data analytics
A1692,Data Analytics Corse,186.0,5824.0,$224.48,29.0,6.0,,$1882,2024/11/28,hyderabad,mobile,data analitics online
A1693,Data Analytcis Course,148.0,5952.0,$186.32,14.0,4.0,0.044,$1469,10-11-2024,hydrebad,MOBILE,data analytics course
A1694,Data Anlytics Corse,181.0,3691.0,$229.14,25.0,10.0,,$1375,2024/11/06,Hyderbad,mobile,analytics for data
A1695,Data Analytcis Course,110.0,4350.0,$243.88,16.0,9.0,,$1157,15-11-2024,Hyderbad,TABLET,online data analytic
A1696,Data Analytics Corse,151.0,5656.0,$191.95,18.0,7.0,,$1813,02-11-2024,hydrebad,MOBILE,data analitics online
A1697,Data Analytcis Course,90.0,4566.0,$228.82,29.0,9.0,0.051,$1697,2024-11-13,Hyderbad,Desktop,data anaytics training
A1698,Data Anlytics Corse,111.0,4245.0,$245.76,22.0,8.0,0.072,,2024-11-07,Hyderbad,desktop,online data analytic
A1699,DataAnalyticsCourse,170.0,5053.0,$217.41,16.0,9.0,0.031,$1497,17-11-2024,hyderabad,Mobile,data anaytics training
A1700,DataAnalyticsCourse,112.0,5093.0,$228.8,23.0,7.0,0.062,$1188,17-11-2024,HYDERABAD,desktop,analytics for data
A1701,Data Anlytics Corse,188.0,5336.0,$188.73,17.0,3.0,0.016,$1601,2024-11-03,hyderabad,TABLET,online data analytic
A1702,Data Anlytics Corse,85.0,4963.0,$186.21,14.0,6.0,,$1747,05-11-2024,hyderabad,Mobile,data analytics course
A1703,Data Analytcis Course,94.0,4544.0,$235.77,23.0,8.0,,$1342,2024-11-05,HYDERABAD,tablet,online data analytic
A1704,Data Analytcis Course,177.0,4901.0,$217.54,20.0,10.0,0.056,$1975,2024/11/13,hyderabad,Tablet,data analitics online
A1705,DataAnalyticsCourse,150.0,5275.0,$192.7,14.0,4.0,0.027,$1170,27-11-2024,hydrebad,Tablet,data analitics online
A1706,Data Analytcis Course,88.0,5225.0,$202.97,22.0,6.0,0.068,$1128,13-11-2024,Hyderbad,tablet,online data analytic
A1707,Data Analytics Corse,128.0,4857.0,$212.61,14.0,5.0,0.039,$1538,25-11-2024,Hyderbad,DESKTOP,data analitics online
A1708,Data Analytcis Course,163.0,5310.0,$242.76,26.0,9.0,0.055,$1793,2024-11-12,hyderabad,mobile,learn data analytics
A1709,Data Anlytics Corse,147.0,5014.0,$193.08,12.0,8.0,0.054,$1017,2024-11-11,HYDERABAD,tablet,online data analytic
A1710,Data Anlytics Corse,191.0,5855.0,$196.54,29.0,3.0,0.016,$1085,21-11-2024,Hyderbad,Desktop,data analytics course
A1711,DataAnalyticsCourse,,5916.0,$234.46,17.0,6.0,0.044,$1982,2024-11-02,hydrebad,desktop,data analytics course
A1712,Data Analytcis Course,115.0,3952.0,$229.18,25.0,4.0,0.035,$1440,20-11-2024,HYDERABAD,tablet,online data analytic
A1713,DataAnalyticsCourse,123.0,4208.0,$212.92,29.0,6.0,0.049,$1184,2024/11/05,Hyderbad,Desktop,learn data analytics
A1714,DataAnalyticsCourse,121.0,5517.0,$222.14,16.0,7.0,,$1682,2024/11/02,HYDERABAD,tablet,learn data analytics
A1715,Data Analytcis Course,126.0,5460.0,$210.83,24.0,10.0,0.079,$1326,2024-11-14,hydrebad,TABLET,online data analytic
A1716,Data Analytics Corse,110.0,3159.0,$197.92,26.0,10.0,0.091,$1608,2024-11-18,hydrebad,MOBILE,data analitics online
A1717,Data Analytics Corse,190.0,5545.0,$223.96,13.0,7.0,0.037,$1344,2024/11/14,Hyderbad,tablet,analytics for data
A1718,Data Anlytics Corse,148.0,3668.0,$245.79,15.0,10.0,0.068,$1718,2024/11/25,hyderabad,Desktop,data analytics course
A1719,Data Anlytics Corse,86.0,5663.0,$231.79,19.0,10.0,0.116,$1547,17-11-2024,HYDERABAD,Mobile,data anaytics training
A1720,Data Analytics Corse,172.0,3123.0,$216.67,15.0,,,$1759,02-11-2024,hydrebad,desktop,online data analytic
A1721,DataAnalyticsCourse,143.0,5638.0,$229.41,23.0,4.0,0.058,$1398,2024/11/03,Hyderbad,Desktop,online data analytic
A1722,DataAnalyticsCourse,172.0,4436.0,$232.16,21.0,7.0,0.041,$1050,2024/11/27,hyderabad,Mobile,learn data analytics
A1723,Data Analytcis Course,138.0,5555.0,$188.55,14.0,8.0,0.058,$1593,24-11-2024,hydrebad,desktop,data anaytics training
A1724,Data Analytcis Course,132.0,4972.0,$248.45,25.0,9.0,,$1126,2024/11/19,HYDERABAD,TABLET,data analitics online
A1725,Data Analytcis Course,174.0,3231.0,,10.0,7.0,0.04,$1128,2024/11/12,hyderabad,Mobile,data analytics course
A1726,Data Analytcis Course,154.0,3461.0,$235.36,18.0,4.0,,$1212,18-11-2024,hydrebad,Tablet,data analitics online
A1727,Data Analytcis Course,126.0,3423.0,$236.21,25.0,9.0,0.071,$1106,20-11-2024,HYDERABAD,tablet,data anaytics training
A1728,DataAnalyticsCourse,138.0,4025.0,$220.96,21.0,7.0,0.051,$1416,2024-11-24,HYDERABAD,tablet,data analitics online
A1729,Data Analytcis Course,193.0,3800.0,$199.76,27.0,9.0,0.047,$1393,2024-11-17,HYDERABAD,mobile,data analytics course
A1730,DataAnalyticsCourse,156.0,5293.0,$210.43,26.0,6.0,0.038,$1449,28-11-2024,hydrebad,tablet,data analytics course
A1731,DataAnalyticsCourse,142.0,3565.0,$180.39,26.0,5.0,0.035,$1147,2024-11-01,hydrebad,tablet,data anaytics training
A1732,Data Analytcis Course,92.0,4296.0,$239.12,11.0,10.0,,$1169,2024/11/02,hyderabad,TABLET,data anaytics training
A1733,DataAnalyticsCourse,190.0,3567.0,$249.26,,7.0,0.057,$1517,2024/11/26,Hyderbad,Desktop,data analitics online
A1734,Data Analytics Corse,134.0,4854.0,$198.93,21.0,8.0,0.06,$1101,03-11-2024,hydrebad,DESKTOP,analytics for data
A1735,Data Anlytics Corse,144.0,,$186.47,29.0,8.0,0.056,$1437,29-11-2024,hydrebad,Mobile,data analytics course
A1736,Data Analytics Corse,117.0,4630.0,$196.66,15.0,8.0,,$1361,17-11-2024,hydrebad,desktop,online data analytic
A1737,Data Analytics Corse,160.0,3448.0,$210.38,19.0,7.0,0.044,$1705,14-11-2024,Hyderbad,desktop,data analytics course
A1738,Data Analytics Corse,146.0,5297.0,$198.89,30.0,8.0,0.055,$2000,2024-11-02,Hyderbad,desktop,data anaytics training
A1739,Data Analytcis Course,175.0,3818.0,$190.89,30.0,10.0,0.039,$1088,2024/11/10,hydrebad,tablet,data analitics online
A1740,Data Analytcis Course,122.0,4791.0,$223.16,12.0,4.0,0.033,$1246,05-11-2024,Hyderbad,TABLET,learn data analytics
A1741,Data Analytcis Course,85.0,3713.0,$225.74,23.0,5.0,0.047,$1867,24-11-2024,hydrebad,tablet,data analitics online
A1742,Data Anlytics Corse,167.0,3634.0,$202.75,30.0,10.0,0.06,$1503,2024/11/23,Hyderbad,desktop,data anaytics training
A1743,Data Anlytics Corse,158.0,3025.0,$180.5,24.0,9.0,,$1725,26-11-2024,hyderabad,TABLET,data anaytics training
A1744,Data Analytics Corse,176.0,5868.0,$184.46,,4.0,0.023,$1229,2024-11-20,HYDERABAD,desktop,data analytics course
A1745,Data Anlytics Corse,111.0,3050.0,$208.87,10.0,7.0,0.063,$1774,2024-11-26,HYDERABAD,TABLET,analytics for data
A1746,Data Anlytics Corse,186.0,5301.0,,14.0,9.0,,$1230,2024-11-17,hydrebad,desktop,learn data analytics
A1747,DataAnalyticsCourse,177.0,3042.0,$239.64,26.0,4.0,0.023,$1646,2024/11/20,HYDERABAD,MOBILE,data analytics course
A1748,Data Analytcis Course,150.0,5272.0,$239.06,13.0,9.0,0.06,$1232,01-11-2024,HYDERABAD,Desktop,online data analytic
A1749,Data Analytics Corse,160.0,4279.0,$191.56,22.0,10.0,0.039,$1234,12-11-2024,Hyderbad,Mobile,data analytics course
A1750,DataAnalyticsCourse,147.0,5659.0,$188.07,22.0,4.0,0.045,$1796,25-11-2024,HYDERABAD,MOBILE,analytics for data
A1751,DataAnalyticsCourse,198.0,4816.0,$224.96,21.0,4.0,0.042,$1601,05-11-2024,hydrebad,MOBILE,online data analytic
A1752,Data Anlytics Corse,145.0,3874.0,,10.0,10.0,0.069,$1153,2024-11-30,HYDERABAD,Mobile,data anaytics training
A1753,Data Analytics Corse,94.0,5221.0,$225.23,17.0,3.0,0.036,$1209,19-11-2024,Hyderbad,Tablet,learn data analytics
A1754,DataAnalyticsCourse,90.0,5859.0,$187.29,17.0,5.0,0.056,$1375,16-11-2024,Hyderbad,MOBILE,analytics for data
A1755,Data Anlytics Corse,182.0,5055.0,$232.64,26.0,8.0,0.036,$1815,10-11-2024,HYDERABAD,mobile,data anaytics training
